The Verifier - November 2024. Data as of June 4, 2025.
FIPS code,State,Jurisdiction,Registered Voters,Precincts,Voting Location,All Mail Ballot?,Election Day Marking Method,Election Day Tabulation
"2302752845","Maine","Town of Northport (Waldo County)","1674","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302756450","Maine","Town of Palermo (Waldo County)","1022","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302761210","Maine","Town of Prospect (Waldo County)","499","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302766565","Maine","Town of Searsmont (Waldo County)","939","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302766635","Maine","Town of Searsport (Waldo County)","2128","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302774475","Maine","Town of Stockton Springs (Waldo County)","1544","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302775525","Maine","Town of Swanville (Waldo County)","1091","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302776610","Maine","Town of Thorndike (Waldo County)","539","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302777625","Maine","Town of Troy (Waldo County)","708","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302778255","Maine","Town of Unity (Waldo County)","1527","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302779480","Maine","Town of Waldo (Waldo County)","543","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302786760","Maine","Town of Winterport (Waldo County)","2978","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302900380","Maine","Town of Addison (Washington County)","1039","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302900660","Maine","Town of Alexander (Washington County)","434","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302902480","Maine","Town of Baileyville (Washington County)","1223","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302902970","Maine","Baring Plantation (Washington County)","162","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302903670","Maine","Town of Beals (Washington County)","408","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302903810","Maine","Town of Beddington (Washington County)","50","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302909585","Maine","City of Calais (Washington County)","2616","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302912175","Maine","Town of Charlotte (Washington County)","246","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302912455","Maine","Town of Cherryfield (Washington County)","936","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302913750","Maine","Town of Columbia (Washington County)","340","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302913820","Maine","Town of Columbia Falls (Washington County)","473","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302914100","Maine","Town of Cooper (Washington County)","114","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302914940","Maine","Town of Crawford (Washington County)","78","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302915920","Maine","Town of Cutler (Washington County)","275","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302916410","Maine","Town of Danforth (Washington County)","676","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302916865","Maine","Town of Deblois (Washington County)","50","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302917355","Maine","Town of Dennysville (Washington County)","250","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302920960","Maine","Town of East Machias (Washington County)","914","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302921730","Maine","City of Eastport (Washington County)","1251","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2309999903","Maine","Edmunds Township","235","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302928660","Maine","Grand Lake Stream Plantation (Washington County)","97","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302931530","Maine","Town of Harrington (Washington County)","712","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2309999904","Maine","Indian Township","473","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302935905","Maine","Town of Jonesboro (Washington County)","444","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302936010","Maine","Town of Jonesport (Washington County)","1189","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302941610","Maine","Town of Lubec (Washington County)","1555","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302941960","Maine","Town of Machias (Washington County)","1614","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302942100","Maine","Town of Machiasport (Washington County)","825","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302943640","Maine","Town of Marshfield (Washington County)","474","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302944760","Maine","Town of Meddybemps (Washington County)","128","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302945600","Maine","Town of Milbridge (Washington County)","1131","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302951375","Maine","Town of Northfield (Washington County)","123","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302957780","Maine","Town of Pembroke (Washington County)","685","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302958165","Maine","Town of Perry (Washington County)","608","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302957090","Maine","Pleasant Point Voting District (Washington County)","490","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302961035","Maine","Town of Princeton (Washington County)","761","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302963275","Maine","Town of Robbinston (Washington County)","418","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302963940","Maine","Town of Roque Bluffs (Washington County)","213","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302974125","Maine","Town of Steuben (Washington County)","927","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302975770","Maine","Town of Talmadge (Washington County)","46","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302976895","Maine","Town of Topsfield (Washington County)","209","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302978675","Maine","Town of Vanceboro (Washington County)","176","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302979375","Maine","Town of Waite (Washington County)","97","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302981685","Maine","Town of Wesley (Washington County)","96","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302985185","Maine","Town of Whiting (Washington County)","362","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2302985290","Maine","Town of Whitneyville (Washington County)","123","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2303100275","Maine","Town of Acton (York County)","2013","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2303100730","Maine","Town of Alfred (York County)","2342","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2303101605","Maine","Town of Arundel (York County)","2795","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2303104720","Maine","Town of Berwick (York County)","5252","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2303104860","Maine","City of Biddeford (York County)","11938","7","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2303109410","Maine","Town of Buxton (York County)","6128","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2303114485","Maine","Town of Cornish (York County)","1210","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2303116725","Maine","Town of Dayton (York County)","1459","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2303122955","Maine","Town of Eliot (York County)","5259","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2303133665","Maine","Town of Hollis (York County)","3084","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2303136535","Maine","Town of Kennebunk (York County)","9878","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2303136745","Maine","Town of Kennebunkport (York County)","2984","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2303137270","Maine","Town of Kittery (York County)","8037","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2303138425","Maine","Town of Lebanon (York County)","4475","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2303139195","Maine","Town of Limerick (York County)","2116","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2303139405","Maine","Town of Limington (York County)","2524","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2303141750","Maine","Town of Lyman (York County)","3312","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2303148750","Maine","Town of Newfield (York County)","1000","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2303150325","Maine","Town of North Berwick (York County)","3411","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2303154980","Maine","Town of Ogunquit (York County)","1279","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2303155085","Maine","Town of Old Orchard Beach (York County)","8742","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2303156870","Maine","Town of Parsonsfield (York County)","1518","2","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2303164675","Maine","City of Saco (York County)","13634","7","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2303165760","Maine","Town of Sanford (York County)","13446","7","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2303167475","Maine","Town of Shapleigh (York County)","1983","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2303170030","Maine","Town of South Berwick (York County)","5198","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2303180530","Maine","Town of Waterboro (York County)","4980","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2303181475","Maine","Town of Wells (York County)","7816","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2303187985","Maine","Town of York (York County)","10617","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2400100000","Maryland","Allegany County","43658","37","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2400300000","Maryland","Anne Arundel County","415737","195","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2451000000","Maryland","City of Baltimore","399811","296","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2400500000","Maryland","Baltimore County","578375","243","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2400900000","Maryland","Calvert County","69820","20","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2401100000","Maryland","Caroline County","22233","8","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2401300000","Maryland","Carroll County","130325","50","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2401500000","Maryland","Cecil County","73126","28","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2401700000","Maryland","Charles County","125900","44","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2401900000","Maryland","Dorchester County","23800","44","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2402100000","Maryland","Frederick County","205245","83","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2402300000","Maryland","Garrett County","20734","19","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2402500000","Maryland","Harford County","195148","72","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2402700000","Maryland","Howard County","238872","118","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2402900000","Maryland","Kent County","14168","10","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2403100000","Maryland","Montgomery County","688741","258","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2403300000","Maryland","Prince George's County","612741","327","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2403500000","Maryland","Queen Anne's County","41315","11","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2403900000","Maryland","Somerset County","14443","23","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2403700000","Maryland","St. Mary's County","76954","38","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2404100000","Maryland","Talbot County","28715","12","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2404300000","Maryland","Washington County","101318","55","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2404500000","Maryland","Wicomico County","66653","63","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2404700000","Maryland","Worcester County","43571","20","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500103600","Massachusetts","Town of Barnstable (Barnstable County)","37611","13","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500107175","Massachusetts","Town of Bourne (Barnstable County)","16311","8","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500107980","Massachusetts","Town of Brewster (Barnstable County)","9018","3","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500112995","Massachusetts","Town of Chatham (Barnstable County)","6230","2","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500116775","Massachusetts","Town of Dennis (Barnstable County)","13414","5","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500119295","Massachusetts","Town of Eastham (Barnstable County)","4972","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500123105","Massachusetts","Town of Falmouth (Barnstable County)","28849","9","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500129020","Massachusetts","Town of Harwich (Barnstable County)","12117","4","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500139100","Massachusetts","Town of Mashpee (Barnstable County)","13297","5","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500151440","Massachusetts","Town of Orleans (Barnstable County)","5870","2","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500155500","Massachusetts","Town of Provincetown (Barnstable County)","3470","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500159735","Massachusetts","Town of Sandwich (Barnstable County)","17581","6","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500170605","Massachusetts","Town of Truro (Barnstable County)","2308","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500174385","Massachusetts","Town of Wellfleet (Barnstable County)","3197","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500182525","Massachusetts","Town of Yarmouth (Barnstable County)","22558","9","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500300555","Massachusetts","Town of Adams (Berkshire County)","6814","5","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500300975","Massachusetts","Town of Alford (Berkshire County)","403","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500304545","Massachusetts","Town of Becket (Berkshire County)","1682","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500313345","Massachusetts","Town of Cheshire (Berkshire County)","2644","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500314010","Massachusetts","Town of Clarksburg (Berkshire County)","1365","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500316180","Massachusetts","Town of Dalton (Berkshire County)","5150","2","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500321360","Massachusetts","Town of Egremont (Berkshire County)","1151","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500324120","Massachusetts","Town of Florida (Berkshire County)","545","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500326815","Massachusetts","Town of Great Barrington (Berkshire County)","5238","4","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500328180","Massachusetts","Town of Hancock (Berkshire County)","601","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500330315","Massachusetts","Town of Hinsdale (Berkshire County)","1613","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500334340","Massachusetts","Town of Lanesborough (Berkshire County)","2590","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500334655","Massachusetts","Town of Lee (Berkshire County)","4839","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500334970","Massachusetts","Town of Lenox (Berkshire County)","3988","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500342460","Massachusetts","Town of Monterey (Berkshire County)","837","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500343300","Massachusetts","Town of Mount Washington (Berkshire County)","140","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500344385","Massachusetts","Town of New Ashford (Berkshire County)","194","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500345420","Massachusetts","Town of New Marlborough (Berkshire County)","1257","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500346225","Massachusetts","City of North Adams (Berkshire County)","9952","5","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500351580","Massachusetts","Town of Otis (Berkshire County)","1363","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500353050","Massachusetts","Town of Peru (Berkshire County)","685","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500353960","Massachusetts","City of Pittsfield (Berkshire County)","32846","14","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500356795","Massachusetts","Town of Richmond (Berkshire County)","1342","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500359665","Massachusetts","Town of Sandisfield (Berkshire County)","702","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500360225","Massachusetts","Town of Savoy (Berkshire County)","579","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500361065","Massachusetts","Town of Sheffield (Berkshire County)","2693","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500367595","Massachusetts","Town of Stockbridge (Berkshire County)","1747","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500371095","Massachusetts","Town of Tyringham (Berkshire County)","375","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500373335","Massachusetts","Town of Washington (Berkshire County)","430","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500377990","Massachusetts","Town of West Stockbridge (Berkshire County)","1168","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500379985","Massachusetts","Town of Williamstown (Berkshire County)","5095","3","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500380685","Massachusetts","Town of Windsor (Berkshire County)","731","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500500520","Massachusetts","Town of Acushnet (Bristol County)","8782","4","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500502690","Massachusetts","City of Attleboro (Bristol County)","36530","12","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500505280","Massachusetts","Town of Berkley (Bristol County)","5617","2","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500516425","Massachusetts","Town of Dartmouth (Bristol County)","25275","9","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500516950","Massachusetts","Town of Dighton (Bristol County)","6599","3","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500520100","Massachusetts","Town of Easton (Bristol County)","18555","8","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500522130","Massachusetts","Town of Fairhaven (Bristol County)","13436","6","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500523000","Massachusetts","City of Fall River (Bristol County)","62521","27","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500525240","Massachusetts","Town of Freetown (Bristol County)","7553","3","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500538225","Massachusetts","Town of Mansfield (Bristol County)","19486","9","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500545000","Massachusetts","City of New Bedford (Bristol County)","70890","41","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500546575","Massachusetts","Town of North Attleborough (Bristol County)","24215","9","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500549970","Massachusetts","Town of Norton (Bristol County)","15072","5","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500556060","Massachusetts","Town of Raynham (Bristol County)","12956","6","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500556375","Massachusetts","Town of Rehoboth (Bristol County)","11016","4","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500560645","Massachusetts","Town of Seekonk (Bristol County)","12561","4","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500562430","Massachusetts","Town of Somerset (Bristol County)","15193","5","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500568750","Massachusetts","Town of Swansea (Bristol County)","13692","5","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500569170","Massachusetts","City of Taunton (Bristol County)","44574","18","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500577570","Massachusetts","Town of Westport (Bristol County)","14558","5","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500701585","Massachusetts","Town of Aquinnah (Dukes County)","448","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500713800","Massachusetts","Town of Chilmark (Dukes County)","1181","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500721150","Massachusetts","Town of Edgartown (Dukes County)","4399","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500726325","Massachusetts","Town of Gosnold (Dukes County)","100","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500750390","Massachusetts","Town of Oak Bluffs (Dukes County)","4445","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500769940","Massachusetts","Town of Tisbury (Dukes County)","3833","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500778235","Massachusetts","Town of West Tisbury (Dukes County)","2786","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Hand Count and Optical Scan",
"2500901185","Massachusetts","City of Amesbury (Essex County)","14310","6","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500901465","Massachusetts","Town of Andover (Essex County)","2706","11","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500905595","Massachusetts","City of Beverly (Essex County)","31420","12","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500907420","Massachusetts","Town of Boxford (Essex County)","6842","3","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500916250","Massachusetts","Town of Danvers (Essex County)","2312","8","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500921850","Massachusetts","Town of Essex (Essex County)","3035","1","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500925625","Massachusetts","Town of Georgetown (Essex County)","6988","3","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500926150","Massachusetts","City of Gloucester (Essex County)","24153","10","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500927620","Massachusetts","Town of Groveland (Essex County)","5717","2","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500927900","Massachusetts","Town of Hamilton (Essex County)","5862","2","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500929405","Massachusetts","City of Haverhill (Essex County)","52011","28","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500932310","Massachusetts","Town of Ipswich (Essex County)","12391","4","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500934550","Massachusetts","City of Lawrence (Essex County)","49341","26","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500937490","Massachusetts","City of Lynn (Essex County)","62305","30","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"2500937560","Massachusetts","Town of Lynnfield (Essex County)","10058","4","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
